loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
35,0.5,1.0,64.89427429996431,65.39524840004742,65.37837280007079,65.37837280007079,65.67977869999595,left,-1.0,1,1,0.6504034001845866,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
36,0.5,1.0,66.06181319989264,66.56159499986097,66.54443140001968,66.54443140001968,66.84490019991063,left,-1.0,0,0,0.6274550999514759,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
37,0.5,1.5,67.19431390007958,67.69536740006879,67.69536740006879,67.69536740006879,67.99487209995277,right,1.5,1,1,0.7745874000247568,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
38,0.5,1.5,68.49504099995829,68.99489189987071,68.97773410007358,68.97773410007358,69.27825789991766,right,1.5,1,1,0.7496336998883635,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
39,0.5,1.5,69.74494899995625,70.24519639997743,70.24519639997743,70.24519639997743,70.54454039991833,right,1.5,1,1,0.6680831999983639,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
40,0.5,1.0,70.96002479991876,71.46097830007784,71.46097830007784,71.46097830007784,71.76120670000091,left,-1.0,1,1,0.7122156000696123,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
41,0.5,1.0,72.19410649989732,72.69445489998907,72.67813339992426,72.67813339992426,72.97771129989997,right,1.0,1,1,0.6177824998740107,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
42,0.5,1.0,73.32743449998088,73.82774330000393,73.82774330000393,73.82774330000393,74.1284310000483,right,1.0,1,1,0.6059113999363035,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
43,0.5,0.5,74.4613137000706,74.96126780007035,74.94412010000087,74.94412010000087,75.2447573998943,right,0.5,0,0,1.03955930005759,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
44,0.5,1.0,76.01035479991697,76.51074120006524,76.51074120006524,76.51074120006524,76.81097869994119,right,1.0,1,1,0.5592259000986814,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
