39.3499 	DATA 	Keypress: right
39.3631 	EXP 	fixation: autoDraw = False
39.3631 	EXP 	grating: autoDraw = False
39.3631 	EXP 	grating: ori = 1.0
39.3631 	EXP 	fixation: autoDraw = True
39.8632 	EXP 	fixation: autoDraw = False
39.8632 	EXP 	grating: autoDraw = True
40.1635 	EXP 	grating: autoDraw = False
40.7495 	DATA 	Keypress: right
40.7634 	EXP 	fixation: autoDraw = False
40.7634 	EXP 	grating: autoDraw = False
40.7634 	EXP 	grating: ori = 1.0
40.7634 	EXP 	fixation: autoDraw = True
41.2628 	EXP 	fixation: autoDraw = False
41.2628 	EXP 	grating: autoDraw = True
41.5622 	EXP 	grating: autoDraw = False
41.9996 	DATA 	Keypress: right
42.0128 	EXP 	fixation: autoDraw = False
42.0128 	EXP 	grating: autoDraw = False
42.0128 	EXP 	grating: ori = -1.0
42.0128 	EXP 	fixation: autoDraw = True
42.5135 	EXP 	fixation: autoDraw = False
42.5135 	EXP 	grating: autoDraw = True
42.8132 	EXP 	grating: autoDraw = False
43.6663 	DATA 	Keypress: right
43.6792 	EXP 	fixation: autoDraw = False
43.6792 	EXP 	grating: autoDraw = False
43.6792 	EXP 	grating: ori = 1.5
43.6792 	EXP 	fixation: autoDraw = True
44.1805 	EXP 	fixation: autoDraw = False
44.1805 	EXP 	grating: autoDraw = True
44.4797 	EXP 	grating: autoDraw = False
45.2993 	DATA 	Keypress: right
45.3124 	EXP 	fixation: autoDraw = False
45.3124 	EXP 	grating: autoDraw = False
45.3124 	EXP 	grating: ori = -1.5
45.3124 	EXP 	fixation: autoDraw = True
45.8130 	EXP 	fixation: autoDraw = False
45.8130 	EXP 	grating: autoDraw = True
46.1130 	EXP 	grating: autoDraw = False
46.8000 	DATA 	Keypress: left
46.8124 	EXP 	fixation: autoDraw = False
46.8124 	EXP 	grating: autoDraw = False
46.8124 	EXP 	grating: ori = 1.5
46.8124 	EXP 	fixation: autoDraw = True
47.3128 	EXP 	fixation: autoDraw = False
47.3128 	EXP 	grating: autoDraw = True
47.6132 	EXP 	grating: autoDraw = False
48.3831 	DATA 	Keypress: right
48.3962 	EXP 	fixation: autoDraw = False
48.3962 	EXP 	grating: autoDraw = False
48.3962 	EXP 	grating: ori = -1.0
48.3962 	EXP 	fixation: autoDraw = True
48.8961 	EXP 	fixation: autoDraw = False
48.8961 	EXP 	grating: autoDraw = True
49.1959 	EXP 	grating: autoDraw = False
49.7326 	DATA 	Keypress: left
49.7463 	EXP 	fixation: autoDraw = False
49.7463 	EXP 	grating: autoDraw = False
49.7463 	EXP 	grating: ori = -1.0
49.7463 	EXP 	fixation: autoDraw = True
50.2460 	EXP 	fixation: autoDraw = False
50.2460 	EXP 	grating: autoDraw = True
50.5459 	EXP 	grating: autoDraw = False
50.9663 	DATA 	Keypress: left
50.9795 	EXP 	fixation: autoDraw = False
50.9795 	EXP 	grating: autoDraw = False
50.9795 	EXP 	grating: ori = -1.0
50.9795 	EXP 	fixation: autoDraw = True
51.4790 	EXP 	fixation: autoDraw = False
51.4790 	EXP 	grating: autoDraw = True
51.7789 	EXP 	grating: autoDraw = False
52.2323 	DATA 	Keypress: left
52.2454 	EXP 	fixation: autoDraw = False
52.2454 	EXP 	grating: autoDraw = False
52.2454 	EXP 	grating: ori = -0.5
52.2454 	EXP 	fixation: autoDraw = True
52.7459 	EXP 	fixation: autoDraw = False
52.7459 	EXP 	grating: autoDraw = True
53.0459 	EXP 	grating: autoDraw = False
53.6822 	DATA 	Keypress: left
53.6955 	EXP 	fixation: autoDraw = False
53.6955 	EXP 	grating: autoDraw = False
53.6955 	EXP 	grating: ori = 0.5
53.6955 	EXP 	fixation: autoDraw = True
54.1792 	EXP 	grating: autoDraw = True
54.1959 	EXP 	fixation: autoDraw = False
54.4789 	EXP 	grating: autoDraw = False
54.8323 	DATA 	Keypress: right
54.8454 	EXP 	fixation: autoDraw = False
54.8454 	EXP 	grating: autoDraw = False
54.8454 	EXP 	grating: ori = 0.5
54.8454 	EXP 	fixation: autoDraw = True
55.3456 	EXP 	fixation: autoDraw = False
55.3456 	EXP 	grating: autoDraw = True
55.6455 	EXP 	grating: autoDraw = False
56.0139 	DATA 	Keypress: right
56.0282 	EXP 	fixation: autoDraw = False
56.0282 	EXP 	grating: autoDraw = False
56.0282 	EXP 	grating: ori = 0.0
56.0282 	EXP 	fixation: autoDraw = True
56.5118 	EXP 	grating: autoDraw = True
56.5293 	EXP 	fixation: autoDraw = False
56.8123 	EXP 	grating: autoDraw = False
57.4489 	DATA 	Keypress: left
57.4619 	EXP 	fixation: autoDraw = False
57.4619 	EXP 	grating: autoDraw = False
57.4619 	EXP 	grating: ori = 0.0
57.4619 	EXP 	fixation: autoDraw = True
57.9619 	EXP 	fixation: autoDraw = False
57.9619 	EXP 	grating: autoDraw = True
58.2622 	EXP 	grating: autoDraw = False
59.7643 	DATA 	Keypress: right
59.7791 	EXP 	fixation: autoDraw = False
59.7791 	EXP 	grating: autoDraw = False
59.7791 	EXP 	grating: ori = -0.5
59.7791 	EXP 	fixation: autoDraw = True
